user_id,q_text,a_text,q_sentiment,a_sentiment
0,黄金 商品 抗通胀,医药 消费 产业轮动,0,1
1,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,0,0
2,短线 交易 高频,短线 交易 高频,-1,1
3,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
4,海外 ETF 汇率 风险,黄金 商品 抗通胀,1,1
5,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,1,-1
6,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,1,-1
7,海外 ETF 汇率 风险,新能源 基金 长期 定投,1,0
8,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,0
9,长期 持有 价值,医药 消费 产业轮动,-1,1
10,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,1,0
11,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,0
12,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,0,0
13,新能源 基金 长期 定投,新能源 基金 长期 定投,0,0
14,海外 ETF 汇率 风险,债券 固收 低波动,0,-1
15,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,0
16,长期 持有 价值,医药 消费 产业轮动,-1,0
17,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,0,1
18,短线 交易 高频,海外 ETF 汇率 风险,0,-1
19,价值 投资 蓝筹 稳健 分红,短线 交易 高频,1,-1
20,黄金 商品 抗通胀,短线 交易 高频,0,0
21,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,0,1
22,短线 交易 高频,短线 交易 高频,1,-1
23,短线 交易 高频,新能源 基金 长期 定投,-1,0
24,短线 交易 高频,价值 投资 蓝筹 稳健 分红,0,0
25,医药 消费 产业轮动,海外 ETF 汇率 风险,-1,1
26,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,-1
27,新能源 基金 长期 定投,长期 持有 价值,1,-1
28,债券 固收 低波动,AI 半导体 成长 风险承受高,0,1
29,短线 交易 高频,债券 固收 低波动,0,-1
30,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,0
31,医药 消费 产业轮动,海外 ETF 汇率 风险,1,0
32,短线 交易 高频,新能源 基金 长期 定投,-1,-1
33,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,0,1
34,海外 ETF 汇率 风险,债券 固收 低波动,1,1
35,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,1,-1
36,短线 交易 高频,价值 投资 蓝筹 稳健 分红,0,0
37,债券 固收 低波动,新能源 基金 长期 定投,0,1
38,黄金 商品 抗通胀,海外 ETF 汇率 风险,0,1
39,短线 交易 高频,海外 ETF 汇率 风险,0,1
40,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,-1,0
41,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,1,1
42,债券 固收 低波动,黄金 商品 抗通胀,1,-1
43,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,1,1
44,短线 交易 高频,短线 交易 高频,0,1
45,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,1,0
46,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,0
47,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,1,-1
48,短线 交易 高频,海外 ETF 汇率 风险,0,0
49,短线 交易 高频,医药 消费 产业轮动,1,1
50,AI 半导体 成长 风险承受高,债券 固收 低波动,0,-1
51,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,0
52,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,0,1
53,短线 交易 高频,黄金 商品 抗通胀,0,0
54,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,1,0
55,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,1,1
56,债券 固收 低波动,短线 交易 高频,1,-1
57,长期 持有 价值,价值 投资 蓝筹 稳健 分红,-1,0
58,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,1,0
